市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,ベビーカー,ベビー・マタニティ用品,粗大ゴミ,
大和郡山市,ベビーバス,ベビー・マタニティ用品,粗大ゴミ,
大和郡山市,ベビーラック,ベビー・マタニティ用品,粗大ゴミ,
大和郡山市,ヘルスメーター,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ベルト,ファッション＆アクセサリー,燃えるゴミ,
大和郡山市,ヘルメット,乗り物,粗大ゴミ,
大和郡山市,便器,ホーム,収集不可,販売店に相談
大和郡山市,便座,ホーム,粗大ゴミ,自分で交換したもの
大和郡山市,ホイール,乗り物,収集不可,販売店に相談
大和郡山市,望遠鏡,スポーツ・アウトドア,粗大ゴミ,
大和郡山市,ほうき,ホーム,粗大ゴミ,
大和郡山市,包丁,キッチン,燃えないゴミ,紙に包む
大和郡山市,ボウリングの玉,スポーツ・アウトドア,粗大ゴミ,
大和郡山市,ホース,DIY・工具・ガーデン,粗大ゴミ,
大和郡山市,ホースリール,DIY・工具・ガーデン,粗大ゴミ,
大和郡山市,ホームこたつ,大型電化製品,粗大ゴミ,
大和郡山市,ボール,スポーツ＆アウトドア,燃えるゴミ,
大和郡山市,ボールペン,文房具・オフィス用品,燃えるゴミ,
大和郡山市,ポスター,ホーム,燃えるゴミ,
大和郡山市,ボストンバッグ,ファッション＆アクセサリー,粗大ゴミ,
大和郡山市,ボタン電池,小型電気製品,収集不可,販売店に相談
大和郡山市,補聴器,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ポット,小型電気製品,粗大ゴミ,電気を使わないものは燃えないゴミ
大和郡山市,ホットカーペット,小型電気製品,粗大ゴミ,
大和郡山市,ホットプレート,小型電気製品,粗大ゴミ,
大和郡山市,ポリタンク,ホーム,粗大ゴミ,中身を空にする
大和郡山市,ポリバケツ,ホーム,粗大ゴミ,
大和郡山市,保冷剤,スポーツ・アウトドア,燃えるゴミ,
大和郡山市,本,本,資源ごみ,
大和郡山市,本棚(木製),ホーム,粗大ゴミ,
大和郡山市,本棚(金属製),ホーム,粗大ゴミ,
大和郡山市,麻雀卓,ホビー,粗大ゴミ,
大和郡山市,巻き尺,DIY・工具・ガーデン,燃えるゴミ,大型は粗大ごみ
大和郡山市,枕,ホーム,粗大ゴミ,
大和郡山市,マジックペン,文房具・オフィス用品,燃えるゴミ,
大和郡山市,マッサージいす,大型電気製品,粗大ゴミ,
大和郡山市,マッサージ器,小型電気製品,粗大ゴミ,
大和郡山市,マッチ,ホーム,燃えるゴミ,水に浸して、火がつかないようにする
大和郡山市,マットレス,ホーム,粗大ゴミ,
大和郡山市,まな板,キッチン,粗大ゴミ,
大和郡山市,マフラー,乗り物,収集不可,販売店に相談
大和郡山市,ミキサー,小型電気製品,粗大ゴミ,
大和郡山市,ミシン,小型電気製品,粗大ゴミ,家庭用のものに限る
大和郡山市,ミニカー,おもちゃ,燃えないゴミ,多量なら直接持ち込み
大和郡山市,虫かご,スポーツ・アウトドア,燃えるゴミ,大型は粗大ごみ
大和郡山市,虫眼鏡,スポーツ・アウトドア,燃えないゴミ,
大和郡山市,眼鏡,ファッション＆アクセサリー,燃えないゴミ,
大和郡山市,メモリーカード,小型電気製品,使用済み小型家電,
大和郡山市,毛布,ホーム,燃えるゴミ,
大和郡山市,モーター,小型電気製品,収集不可,清掃センターへ問い合わせ
大和郡山市,物置,ホーム,収集不可,販売店に相談
大和郡山市,物差し,ホーム,燃えるゴミ,金属製は燃えないゴミ
大和郡山市,物干しざお,ホーム,粗大ゴミ,
大和郡山市,物干しスタンド,ホーム,粗大ゴミ,
大和郡山市,物干し台(コンクリート),ホーム,持ち込みのみ可,1回の搬入が4個まで
大和郡山市,やかん,キッチン,燃えないゴミ,
大和郡山市,薬品,薬品,収集不可,販売店に相談
大和郡山市,USBケーブル,小型電気製品,粗大ゴミ,
大和郡山市,USBメモリー,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,湯たんぽ,ホーム,粗大ゴミ,
大和郡山市,湯飲み,キッチン,燃えないゴミ,
大和郡山市,湯沸かし器,小型電気製品,粗大ゴミ,自分で交換したもの
大和郡山市,よしず,ホーム,粗大ゴミ,
大和郡山市,ラケット(バドミントン、テニス),スポーツ・アウトドア,粗大ゴミ,
大和郡山市,ラケット(卓球),スポーツ・アウトドア,燃えるゴミ,
大和郡山市,ラジオ,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ラジコン,小型電気製品,燃えるゴミ,大型は粗大ごみ
大和郡山市,ラップ,キッチン,燃えるゴミ,
大和郡山市,LANケーブル,小型電気製品,粗大ゴミ,
大和郡山市,ランドセル,ホーム,粗大ゴミ,
大和郡山市,リチウムイオン電池,小型電気製品,収集不可,販売店に相談
大和郡山市,リモコン,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,冷蔵庫,大型電気製品,収集不可,
大和郡山市,冷風扇,大型電気製品,粗大ゴミ,
大和郡山市,レコード,楽器・音響機器,燃えるゴミ,
大和郡山市,レンジ台,ホーム,粗大ゴミ,
大和郡山市,レンジラック,ホーム,粗大ゴミ,
大和郡山市,レンガ,DIY・工具・ガーデン,収集不可,公共施設の回収ボックスへ
大和郡山市,練炭,スポーツ・アウトドア,燃えるゴミ,少量ならば湿らせて出す
大和郡山市,ローラースケート,スポーツ・アウトドア,粗大ゴミ,
大和郡山市,ワードプロセッサー,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
