市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,紙おむつ,ベビー＆マタニティ用品,燃えるごみ,紙おむつは袋に入れ密封、汚物はトイレに(医療機関 Iを除く)
大和郡山市,かみそり,ホーム,燃えないごみ,紙に包んでください
大和郡山市,カメラ(フィルム式),小型電気製品,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,カラオケ機器(家庭用）,小型電気製品,粗大ごみ,
大和郡山市,ガラス,ホーム,燃えないごみ,紙に包んでください
大和郡山市,ガラス細工,ホビー,燃えないごみ,
大和郡山市,軽石,DIY・工具・ガーデン,燃えないごみ,
大和郡山市,換気扇,大型電気製品,粗大ごみ,
大和郡山市,乾燥機(衣類用),大型電気製品,市では収集できません,「特定家電品」PI 0参照
大和郡山市,乾燥剤,ホーム,燃えるごみ,
大和郡山市,乾電池,ホーム,有害ごみ, +極と一極をセロハンテープ等で絶縁してから廃棄する
大和郡山市,木くず,DIY・工具・ガーデン,燃えるごみ,日曜大工程度の残片
大和郡山市,脚立,DIY・工具・ガーデン,粗大ごみ,
大和郡山市,ギター,楽器・音響機器,粗大ごみ,
大和郡山市,急須,キッチン,燃えないごみ,
大和郡山市,給湯器,小型電気製品,市では収集できません,
大和郡山市,牛乳パック,食品・飲料,資源ごみ,販売店、購入店に相談してください
大和郡山市,鏡台,ホーム,粗大ごみ,
大和郡山市,金魚鉢(ガラス製),ホーム,燃えないごみ,
大和郡山市,金庫,ホーム,持込のみ可,大型は粗大ごみ
大和郡山市,空気清浄機,大型電気製品,粗大ごみ,家庭用の小型のものに限る
大和郡山市,クーラー,大型電気製品,市では収集できません,
大和郡山市,クーラーボックス,ホーム,粗大ごみ,「特定家電品」PI 0参照
大和郡山市,釘,DIY・工具・ガーデン,燃えないごみ,
大和郡山市,草刈り機,DIY・工具・ガーデン,粗大ごみ,家庭用のものに限る
大和郡山市,草刈り機(替え刃),DIY・工具・ガーデン,粗大ごみ,持ち込みのみ可
大和郡山市,鎖,DIY・工具・ガーデン,燃えないごみ,
大和郡山市,串,食品・飲料,燃えるごみ,
大和郡山市,口紅,ホーム,燃えるごみ,
大和郡山市,靴,ファッション＆アクセサリー,燃えるごみ,
大和郡山市,クリップ,ホーム,燃えないごみ,
大和郡山市,車椅子,ホーム,粗大ごみ,"家庭用のものに限る
ただし電動式のバッテリーは販売店、購入店に相談してください"
大和郡山市,クレヨン,ホビー,燃えるごみ,
大和郡山市,グラブ(野球),スポーツ＆アウトドア,燃えるごみ,
大和郡山市,鍬(くわ),DIY・工具・ガーデン,粗大ごみ,家庭用のものに限る
大和郡山市,蛍光灯,ホーム,有害ごみ,
大和郡山市,携帯電話,小型電気製品,使用済小型家電,"公共施設の回収ボックスへ
個人情報はあらかじめ削除しておく"
大和郡山市,携帯用音楽プレーヤー,小型電気製品,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,消しゴム,文房具・オフィス用品,燃えるごみ,
大和郡山市,化粧用びん,ビューティー,燃えないごみ,
大和郡山市,血圧計(デジタル),小型電気製品,使用済小型家電,公共施設の回収ボックスへ
大和郡山市,血圧計(水銀),ホーム,市では収集できません,販売店、購入店に相談してください
大和郡山市,玄関マット,ホーム,粗大ごみ,
大和郡山市,健康器具,ホーム,粗大ごみ,家庭用のものに限る
大和郡山市,剣道防具,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,剣山,ホビー,燃えないごみ,紙に包んでください
大和郡山市,建築廃材,DIY・工具・ガーデン,市では収集できません,販売店、購入店に相談してください
大和郡山市,原付バイク( 50cc以下),乗り物,粗大ごみ,ナンバープレートを返却し、ガソリンを抜く
